34.82940 -116.33500 200000.00   8024.4   4692.6   3132.0
34.82940 -116.33500 199799.80   8025.2   4693.1   3132.2
34.82940 -116.33500 199599.59   8025.9   4693.5   3132.3
34.82940 -116.33500 199399.42   8026.7   4694.0   3132.4
34.82940 -116.33500 199199.20   8027.5   4694.5   3132.5
34.82940 -116.33500 198999.00   8028.3   4694.9   3132.7
34.82940 -116.33500 198798.78   8029.1   4695.4   3132.8
34.82940 -116.33500 198598.59   8029.9   4695.9   3132.9
34.82940 -116.33500 198398.39   8030.7   4696.3   3133.1
34.82940 -116.33500 198198.20   8031.5   4696.8   3133.2
34.82940 -116.33500 197998.00   8032.3   4697.3   3133.3
34.82940 -116.33500 197797.81   8033.1   4697.7   3133.4
34.82940 -116.33500 197597.59   8033.9   4698.2   3133.6
34.82940 -116.33500 197397.39   8034.7   4698.7   3133.7
34.82940 -116.33500 197197.20   8035.5   4699.1   3133.8
34.82940 -116.33500 196997.00   8036.3   4699.6   3133.9
34.82940 -116.33500 196796.80   8037.1   4700.1   3134.1
34.82940 -116.33500 196596.59   8037.9   4700.5   3134.2
34.82940 -116.33500 196396.39   8038.7   4701.0   3134.3
34.82940 -116.33500 196196.20   8039.5   4701.4   3134.4
34.82940 -116.33500 195996.00   8040.3   4701.9   3134.6
34.82940 -116.33500 195795.80   8041.1   4702.4   3134.7
34.82940 -116.33500 195595.59   8041.9   4702.8   3134.8
34.82940 -116.33500 195395.39   8042.7   4703.3   3134.9
34.82940 -116.33500 195195.19   8043.5   4703.8   3135.1
34.82940 -116.33500 194995.00   8044.3   4704.2   3135.2
34.82940 -116.33500 194794.80   8045.1   4704.7   3135.3
34.82940 -116.33500 194594.59   8045.9   4705.2   3135.4
34.82940 -116.33500 194394.39   8046.7   4705.6   3135.6
34.82940 -116.33500 194194.19   8047.5   4706.1   3135.7
34.82940 -116.33500 193994.00   8048.3   4706.6   3135.8
34.82940 -116.33500 193793.80   8049.1   4707.0   3136.0
34.82940 -116.33500 193593.58   8049.9   4707.5   3136.1
34.82940 -116.33500 193393.39   8050.7   4708.0   3136.2
34.82940 -116.33500 193193.19   8051.5   4708.4   3136.3
34.82940 -116.33500 192993.00   8052.3   4708.9   3136.5
34.82940 -116.33500 192792.80   8053.1   4709.4   3136.6
34.82940 -116.33500 192592.61   8053.9   4709.8   3136.7
34.82940 -116.33500 192392.39   8054.7   4710.3   3136.8
34.82940 -116.33500 192192.19   8055.5   4710.8   3137.0
34.82940 -116.33500 191991.97   8056.3   4711.2   3137.1
34.82940 -116.33500 191791.80   8057.1   4711.7   3137.2
34.82940 -116.33500 191591.61   8057.9   4712.2   3137.3
34.82940 -116.33500 191391.39   8058.7   4712.6   3137.5
34.82940 -116.33500 191191.19   8059.5   4713.1   3137.6
34.82940 -116.33500 190991.00   8060.3   4713.6   3137.7
34.82940 -116.33500 190790.80   8061.1   4714.0   3137.8
34.82940 -116.33500 190590.59   8061.9   4714.5   3138.0
34.82940 -116.33500 190390.39   8062.7   4715.0   3138.1
34.82940 -116.33500 190190.19   8063.5   4715.4   3138.2
34.82940 -116.33500 189989.98   8064.3   4715.9   3138.3
34.82940 -116.33500 189789.80   8065.3   4716.5   3138.5
34.82940 -116.33500 189589.59   8066.2   4717.1   3138.7
34.82940 -116.33500 189389.39   8067.2   4717.7   3138.8
34.82940 -116.33500 189189.19   8068.2   4718.4   3139.0
34.82940 -116.33500 188988.98   8069.2   4719.0   3139.1
34.82940 -116.33500 188788.78   8070.2   4719.6   3139.3
34.82940 -116.33500 188588.59   8071.1   4720.2   3139.4
34.82940 -116.33500 188388.38   8072.1   4720.8   3139.6
34.82940 -116.33500 188188.19   8073.1   4721.4   3139.7
34.82940 -116.33500 187987.98   8074.1   4722.1   3139.9
34.82940 -116.33500 187787.78   8075.1   4722.7   3140.1
34.82940 -116.33500 187587.59   8076.1   4723.3   3140.2
34.82940 -116.33500 187387.41   8077.0   4723.9   3140.4
34.82940 -116.33500 187187.19   8078.0   4724.5   3140.5
34.82940 -116.33500 186986.98   8079.0   4725.1   3140.7
34.82940 -116.33500 186786.77   8080.0   4725.7   3140.8
34.82940 -116.33500 186586.59   8081.0   4726.4   3141.0
34.82940 -116.33500 186386.41   8081.9   4727.0   3141.1
34.82940 -116.33500 186186.19   8082.9   4727.6   3141.3
34.82940 -116.33500 185985.98   8083.9   4728.2   3141.4
34.82940 -116.33500 185785.80   8084.9   4728.8   3141.6
34.82940 -116.33500 185585.58   8085.9   4729.4   3141.8
34.82940 -116.33500 185385.39   8086.8   4730.1   3141.9
34.82940 -116.33500 185185.19   8087.8   4730.7   3142.1
34.82940 -116.33500 184984.98   8088.8   4731.3   3142.2
34.82940 -116.33500 184784.78   8089.8   4731.9   3142.4
34.82940 -116.33500 184584.58   8090.8   4732.5   3142.5
34.82940 -116.33500 184384.39   8091.8   4733.1   3142.7
34.82940 -116.33500 184184.19   8092.7   4733.7   3142.8
34.82940 -116.33500 183983.98   8093.7   4734.4   3143.0
34.82940 -116.33500 183783.78   8094.7   4735.0   3143.2
34.82940 -116.33500 183583.58   8095.7   4735.6   3143.3
34.82940 -116.33500 183383.39   8096.7   4736.2   3143.5
34.82940 -116.33500 183183.17   8097.6   4736.8   3143.6
34.82940 -116.33500 182982.98   8098.6   4737.4   3143.8
34.82940 -116.33500 182782.78   8099.6   4738.1   3143.9
34.82940 -116.33500 182582.58   8100.6   4738.7   3144.1
34.82940 -116.33500 182382.38   8101.6   4739.3   3144.2
34.82940 -116.33500 182182.17   8102.6   4739.9   3144.4
